"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Births"
	"Alabama"	"01"	"2007"	"2007"	"January"	"1"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"January"	"1"	"15-19 years"	"15-19"	744
	"Alabama"	"01"	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	1656
	"Alabama"	"01"	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	1478
	"Alabama"	"01"	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	935
	"Alabama"	"01"	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	406
	"Alabama"	"01"	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	83
	"Alabama"	"01"	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"January"	"1"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2007"	"2007"	"February"	"2"	"Under 15 years"	"15"	20
	"Alabama"	"01"	"2007"	"2007"	"February"	"2"	"15-19 years"	"15-19"	674
	"Alabama"	"01"	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	1411
	"Alabama"	"01"	"2007"	"2007"	"February"	"2"	"25-29 years"	"25-29"	1473
	"Alabama"	"01"	"2007"	"2007"	"February"	"2"	"30-34 years"	"30-34"	909
	"Alabama"	"01"	"2007"	"2007"	"February"	"2"	"35-39 years"	"35-39"	360
	"Alabama"	"01"	"2007"	"2007"	"February"	"2"	"40-44 years"	"40-44"	88
	"Alabama"	"01"	"2007"	"2007"	"February"	"2"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"February"	"2"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2007"	"2007"	"March"	"3"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"March"	"3"	"15-19 years"	"15-19"	669
	"Alabama"	"01"	"2007"	"2007"	"March"	"3"	"20-24 years"	"20-24"	1700
	"Alabama"	"01"	"2007"	"2007"	"March"	"3"	"25-29 years"	"25-29"	1549
	"Alabama"	"01"	"2007"	"2007"	"March"	"3"	"30-34 years"	"30-34"	914
	"Alabama"	"01"	"2007"	"2007"	"March"	"3"	"35-39 years"	"35-39"	425
	"Alabama"	"01"	"2007"	"2007"	"March"	"3"	"40-44 years"	"40-44"	74
	"Alabama"	"01"	"2007"	"2007"	"March"	"3"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"March"	"3"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2007"	"2007"	"April"	"4"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"April"	"4"	"15-19 years"	"15-19"	696
	"Alabama"	"01"	"2007"	"2007"	"April"	"4"	"20-24 years"	"20-24"	1557
	"Alabama"	"01"	"2007"	"2007"	"April"	"4"	"25-29 years"	"25-29"	1447
	"Alabama"	"01"	"2007"	"2007"	"April"	"4"	"30-34 years"	"30-34"	951
	"Alabama"	"01"	"2007"	"2007"	"April"	"4"	"35-39 years"	"35-39"	372
	"Alabama"	"01"	"2007"	"2007"	"April"	"4"	"40-44 years"	"40-44"	74
	"Alabama"	"01"	"2007"	"2007"	"April"	"4"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"April"	"4"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2007"	"2007"	"May"	"5"	"Under 15 years"	"15"	12
	"Alabama"	"01"	"2007"	"2007"	"May"	"5"	"15-19 years"	"15-19"	661
	"Alabama"	"01"	"2007"	"2007"	"May"	"5"	"20-24 years"	"20-24"	1677
	"Alabama"	"01"	"2007"	"2007"	"May"	"5"	"25-29 years"	"25-29"	1548
	"Alabama"	"01"	"2007"	"2007"	"May"	"5"	"30-34 years"	"30-34"	934
	"Alabama"	"01"	"2007"	"2007"	"May"	"5"	"35-39 years"	"35-39"	430
	"Alabama"	"01"	"2007"	"2007"	"May"	"5"	"40-44 years"	"40-44"	60
	"Alabama"	"01"	"2007"	"2007"	"May"	"5"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"May"	"5"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"June"	"6"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"June"	"6"	"15-19 years"	"15-19"	651
	"Alabama"	"01"	"2007"	"2007"	"June"	"6"	"20-24 years"	"20-24"	1565
	"Alabama"	"01"	"2007"	"2007"	"June"	"6"	"25-29 years"	"25-29"	1478
	"Alabama"	"01"	"2007"	"2007"	"June"	"6"	"30-34 years"	"30-34"	891
	"Alabama"	"01"	"2007"	"2007"	"June"	"6"	"35-39 years"	"35-39"	391
	"Alabama"	"01"	"2007"	"2007"	"June"	"6"	"40-44 years"	"40-44"	73
	"Alabama"	"01"	"2007"	"2007"	"June"	"6"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"June"	"6"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2007"	"2007"	"July"	"7"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"July"	"7"	"15-19 years"	"15-19"	704
	"Alabama"	"01"	"2007"	"2007"	"July"	"7"	"20-24 years"	"20-24"	1785
	"Alabama"	"01"	"2007"	"2007"	"July"	"7"	"25-29 years"	"25-29"	1641
	"Alabama"	"01"	"2007"	"2007"	"July"	"7"	"30-34 years"	"30-34"	1032
	"Alabama"	"01"	"2007"	"2007"	"July"	"7"	"35-39 years"	"35-39"	432
	"Alabama"	"01"	"2007"	"2007"	"July"	"7"	"40-44 years"	"40-44"	76
	"Alabama"	"01"	"2007"	"2007"	"July"	"7"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"July"	"7"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2007"	"2007"	"August"	"8"	"Under 15 years"	"15"	16
	"Alabama"	"01"	"2007"	"2007"	"August"	"8"	"15-19 years"	"15-19"	818
	"Alabama"	"01"	"2007"	"2007"	"August"	"8"	"20-24 years"	"20-24"	1871
	"Alabama"	"01"	"2007"	"2007"	"August"	"8"	"25-29 years"	"25-29"	1632
	"Alabama"	"01"	"2007"	"2007"	"August"	"8"	"30-34 years"	"30-34"	1007
	"Alabama"	"01"	"2007"	"2007"	"August"	"8"	"35-39 years"	"35-39"	484
	"Alabama"	"01"	"2007"	"2007"	"August"	"8"	"40-44 years"	"40-44"	81
	"Alabama"	"01"	"2007"	"2007"	"August"	"8"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"August"	"8"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2007"	"2007"	"September"	"9"	"Under 15 years"	"15"	14
	"Alabama"	"01"	"2007"	"2007"	"September"	"9"	"15-19 years"	"15-19"	806
	"Alabama"	"01"	"2007"	"2007"	"September"	"9"	"20-24 years"	"20-24"	1741
